br-dashboard-api  | [03:35:39 INF] Received HTTP response headers after 52.1838ms - 400
br-dashboard-api  | [03:35:39 INF] End processing HTTP request after 52.4517ms - 400
br-dashboard-api  | [03:35:42 INF] HTTP GET /metrics responded 200 in 8.5945 ms
br-dashboard-api  | [03:35:43 INF] HTTP GET /health/live responded 200 in 0.3154 ms
br-dashboard-api  | [03:35:44 INF] Start processing HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:35:44 INF] Sending HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:35:44 INF] Received HTTP response headers after 65.3052ms - 400
br-dashboard-api  | [03:35:44 INF] End processing HTTP request after 65.5127ms - 400
br-dashboard-api  | [03:35:49 INF] Start processing HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:35:49 INF] Sending HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:35:49 INF] Received HTTP response headers after 59.7083ms - 400
br-dashboard-api  | [03:35:49 INF] End processing HTTP request after 59.9837ms - 400
br-dashboard-api  | [03:35:52 INF] HTTP GET /metrics responded 200 in 4.8087 ms
br-dashboard-api  | [03:35:54 INF] Start processing HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:35:54 INF] Sending HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:35:54 INF] Received HTTP response headers after 51.5403ms - 400
br-dashboard-api  | [03:35:54 INF] End processing HTTP request after 51.8685ms - 400
br-dashboard-api  | [03:35:58 INF] HTTP GET /health/live responded 200 in 0.2387 ms
br-dashboard-api  | [03:35:59 INF] Start processing HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:35:59 INF] Sending HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:35:59 INF] Received HTTP response headers after 60.472ms - 400
br-dashboard-api  | [03:35:59 INF] End processing HTTP request after 60.9291ms - 400
br-dashboard-api  | [03:36:02 INF] HTTP GET /metrics responded 200 in 7.4582 ms
br-dashboard-api  | [03:36:04 INF] Start processing HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:36:04 INF] Sending HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:36:04 INF] Received HTTP response headers after 58.9311ms - 400
br-dashboard-api  | [03:36:04 INF] End processing HTTP request after 59.4374ms - 400
br-dashboard-api  | [03:36:09 INF] Start processing HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:36:09 INF] Sending HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:36:09 INF] Received HTTP response headers after 44.643ms - 400
br-dashboard-api  | [03:36:09 INF] End processing HTTP request after 44.9087ms - 400
br-dashboard-api  | [03:36:12 INF] HTTP GET /metrics responded 200 in 11.4739 ms
br-dashboard-api  | [03:36:14 INF] HTTP GET /health/live responded 200 in 0.2289 ms
br-dashboard-api  | [03:36:14 INF] Start processing HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:36:14 INF] Sending HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:36:14 INF] Received HTTP response headers after 48.8553ms - 400
br-dashboard-api  | [03:36:14 INF] End processing HTTP request after 49.134ms - 400
br-dashboard-api  | [03:36:19 INF] Start processing HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:36:19 INF] Sending HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:36:19 INF] Received HTTP response headers after 71.6919ms - 400
br-dashboard-api  | [03:36:19 INF] End processing HTTP request after 71.8608ms - 400
br-dashboard-api  | [03:36:22 INF] HTTP GET /metrics responded 200 in 9.5300 ms
br-dashboard-api  | [03:36:24 INF] Start processing HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:36:24 INF] Sending HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:36:24 INF] Received HTTP response headers after 53.7201ms - 400
br-dashboard-api  | [03:36:24 INF] End processing HTTP request after 53.9824ms - 400
br-dashboard-api  | [03:36:29 INF] HTTP GET /health/live responded 200 in 0.1166 ms
br-dashboard-api  | [03:36:29 INF] Start processing HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:36:29 INF] Sending HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:36:29 INF] Received HTTP response headers after 56.1017ms - 400
br-dashboard-api  | [03:36:29 INF] End processing HTTP request after 56.4904ms - 400
br-dashboard-api  | [03:36:32 INF] HTTP GET /metrics responded 200 in 9.8315 ms
br-dashboard-api  | [03:36:34 INF] Start processing HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:36:34 INF] Sending HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:36:34 INF] Received HTTP response headers after 33.5568ms - 400
br-dashboard-api  | [03:36:34 INF] End processing HTTP request after 33.7859ms - 400
br-dashboard-api  | [03:36:39 INF] Start processing HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:36:39 INF] Sending HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:36:39 INF] Received HTTP response headers after 55.3639ms - 400
br-dashboard-api  | [03:36:39 INF] End processing HTTP request after 55.6027ms - 400
br-dashboard-api  | [03:36:42 INF] HTTP GET /metrics responded 200 in 8.2497 ms
br-dashboard-api  | [03:36:44 INF] HTTP GET /health/live responded 200 in 0.1620 ms
br-dashboard-api  | [03:36:44 INF] Start processing HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:36:44 INF] Sending HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:36:44 INF] Received HTTP response headers after 52.6659ms - 400
br-dashboard-api  | [03:36:44 INF] End processing HTTP request after 52.921ms - 400
br-dashboard-api  | [03:36:49 INF] Start processing HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:36:49 INF] Sending HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:36:49 INF] Received HTTP response headers after 66.777ms - 400
br-dashboard-api  | [03:36:49 INF] End processing HTTP request after 69.6941ms - 400
br-dashboard-api  | [03:36:52 INF] HTTP GET /metrics responded 200 in 6.9002 ms
br-dashboard-api  | [03:36:54 INF] Start processing HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:36:54 INF] Sending HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:36:54 INF] Received HTTP response headers after 62.2644ms - 400
br-dashboard-api  | [03:36:54 INF] End processing HTTP request after 62.4558ms - 400
br-dashboard-api  | [03:36:58 INF] HTTP GET /hubs/live responded 101 in 692947.3429 ms
br-dashboard-api  | [03:36:58 INF] HTTP GET /api/stats/dashboard responded 200 in 3.2556 ms
br-dashboard-api  | [03:36:58 INF] HTTP POST /hubs/live/negotiate responded 200 in 2.1888 ms
br-dashboard-api  | [03:36:59 INF] HTTP GET /api/alerts responded 200 in 20.9364 ms
br-dashboard-api  | [03:36:59 INF] Start processing HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:36:59 INF] Sending HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:36:59 INF] HTTP GET /health/live responded 200 in 0.5296 ms
br-dashboard-api  | [03:36:59 INF] Received HTTP response headers after 56.4093ms - 400
br-dashboard-api  | [03:36:59 INF] End processing HTTP request after 56.8321ms - 400
br-dashboard-api  | [03:37:00 INF] HTTP GET /api/brands responded 200 in 25.4621 ms
br-dashboard-api  | [03:37:00 ERR] HTTP GET /api/rules responded 500 in 30.6051 ms
br-dashboard-api  | System.InvalidOperationException: A parameterless default constructor or one matching signature (System.Int32 Id, System.String Name, System.Int32 BrandId, System.String Type, System.Double Threshold, System.Int32 WindowMinutes, System.Int32 CooldownMinutes, System.String Channel, System.String Target, System.Boolean Enabled, System.DateTime LastFiredAt) is required for Dashboard.Api.Alerts.AlertRuleDto materialization
br-dashboard-api  |    at Dapper.SqlMapper.GenerateDeserializerFromMap(Type type, DbDataReader reader, Int32 startBound, Int32 length, Boolean returnNullIfFirstMissing, ILGenerator il) in /_/Dapper/SqlMapper.cs:line 3473
br-dashboard-api  |    at Dapper.SqlMapper.GetTypeDeserializerImpl(Type type, DbDataReader reader, Int32 startBound, Int32 length, Boolean returnNullIfFirstMissing) in /_/Dapper/SqlMapper.cs:line 3304
br-dashboard-api  |    at Dapper.SqlMapper.TypeDeserializerCache.GetReader(DbDataReader reader, Int32 startBound, Int32 length, Boolean returnNullIfFirstMissing) in /_/Dapper/SqlMapper.TypeDeserializerCache.cs:line 151
br-dashboard-api  |    at Dapper.SqlMapper.TypeDeserializerCache.GetReader(Type type, DbDataReader reader, Int32 startBound, Int32 length, Boolean returnNullIfFirstMissing) in /_/Dapper/SqlMapper.TypeDeserializerCache.cs:line 50
br-dashboard-api  |    at Dapper.SqlMapper.GetTypeDeserializer(Type type, DbDataReader reader, Int32 startBound, Int32 length, Boolean returnNullIfFirstMissing) in /_/Dapper/SqlMapper.cs:line 3258
br-dashboard-api  |    at Dapper.SqlMapper.GetDeserializer(Type type, DbDataReader reader, Int32 startBound, Int32 length, Boolean returnNullIfFirstMissing) in /_/Dapper/SqlMapper.cs:line 1945
br-dashboard-api  |    at Dapper.SqlMapper.QueryAsync[T](IDbConnection cnn, Type effectiveType, CommandDefinition command) in /_/Dapper/SqlMapper.Async.cs:line 442
br-dashboard-api  |    at Dashboard.Api.Alerts.AlertRuleAdmin.ListAsync(CancellationToken ct) in /src/Dashboard.Api/Alerts/AlertRuleAdmin.cs:line 35
br-dashboard-api  |    at Dashboard.Api.Alerts.AlertRuleAdmin.ListAsync(CancellationToken ct) in /src/Dashboard.Api/Alerts/AlertRuleAdmin.cs:line 35
br-dashboard-api  |    at Dashboard.Api.Controllers.AlertRulesController.List(CancellationToken ct) in /src/Dashboard.Api/Controllers/AlertRulesController.cs:line 16
br-dashboard-api  |    at Microsoft.AspNetCore.Mvc.Infrastructure.ActionMethodExecutor.TaskOfIActionResultExecutor.Execute(ActionContext actionContext, IActionResultTypeMapper mapper, ObjectMethodExecutor executor, Object controller, Object[] arguments)
br-dashboard-api  |    at Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker.<InvokeActionMethodAsync>g__Awaited|12_0(ControllerActionInvoker invoker, ValueTask`1 actionResultValueTask)
br-dashboard-api  |    at Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker.<InvokeNextActionFilterAsync>g__Awaited|10_0(ControllerActionInvoker invoker, Task lastTask, State next, Scope scope, Object state, Boolean isCompleted)
br-dashboard-api  |    at Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker.Rethrow(ActionExecutedContextSealed context)
br-dashboard-api  |    at Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker.Next(State& next, Scope& scope, Object& state, Boolean& isCompleted)
